pdb,path,url,protein,virus,method,resolution,rmsd,rwork,rfree
5s4e,pdb/nsp3/SARS-CoV-2/5s4e,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/5s4e,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.07,,0.1638,0.1955
5s4f,pdb/nsp3/SARS-CoV-2/5s4f,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/5s4f,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.1,,0.1737,0.2128
5s4g,pdb/nsp3/SARS-CoV-2/5s4g,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/5s4g,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.08,,0.1853,0.2238
5s4h,pdb/nsp3/SARS-CoV-2/5s4h,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/5s4h,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.17,,0.1789,0.2226
5s4i,pdb/nsp3/SARS-CoV-2/5s4i,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/5s4i,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.13,,0.1664,0.2037
5s4j,pdb/nsp3/SARS-CoV-2/5s4j,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/5s4j,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.06,,0.171,0.202
5s4k,pdb/nsp3/SARS-CoV-2/5s4k,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/5s4k,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.08,,0.1762,0.2093
5s73,pdb/nsp3/SARS-CoV-2/5s73,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/5s73,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.06,,0.2009,0.2234
5s74,pdb/nsp3/SARS-CoV-2/5s74,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/5s74,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,0.95,,0.1765,0.1852
6z5t,pdb/nsp3/SARS-CoV-2/6z5t,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/6z5t,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.57,,0.2094,0.2493
6z6i,pdb/nsp3/SARS-CoV-2/6z6i,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/6z6i,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.0,,0.2289,0.2786
6z72,pdb/nsp3/SARS-CoV-2/6z72,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/6z72,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.3,,0.218,0.2632
7bf3,pdb/nsp3/SARS-CoV-2/7bf3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7bf3,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.0,,0.1754,0.2174
7bf4,pdb/nsp3/SARS-CoV-2/7bf4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7bf4,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.55,,0.1384,0.1743
7bf5,pdb/nsp3/SARS-CoV-2/7bf5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7bf5,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.05,,0.1772,0.2168
7bf6,pdb/nsp3/SARS-CoV-2/7bf6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7bf6,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.15,,0.1803,0.2258
7e35,pdb/nsp3/SARS-CoV-2/7e35,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7e35,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.4,,0.2814,0.3171
7kqo,pdb/nsp3/SARS-CoV-2/7kqo,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7kqo,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,0.85,,0.1203,0.1384
7kqp,pdb/nsp3/SARS-CoV-2/7kqp,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7kqp,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,0.88,,0.1076,0.1233
7kqw,pdb/nsp3/SARS-CoV-2/7kqw,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7kqw,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,0.93,,0.1276,0.147
7kr0,pdb/nsp3/SARS-CoV-2/7kr0,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7kr0,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,0.73,,0.1099,0.1172
7kr1,pdb/nsp3/SARS-CoV-2/7kr1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7kr1,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.55,,0.1797,0.2214
7krx,pdb/nsp3/SARS-CoV-2/7krx,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7krx,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.72,,0.2097,0.249
7kxb,pdb/nsp3/SARS-CoV-2/7kxb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7kxb,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.55,,0.1606,0.1877
7lbr,pdb/nsp3/SARS-CoV-2/7lbr,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7lbr,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.2,,0.1959,0.2406
7lbs,pdb/nsp3/SARS-CoV-2/7lbs,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7lbs,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.8,,0.2016,0.2601
7lg7,pdb/nsp3/SARS-CoV-2/7lg7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7lg7,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.3,,0.1785,0.2056
7lgo,pdb/nsp3/SARS-CoV-2/7lgo,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7lgo,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.44,,0.2608,0.3175
7llf,pdb/nsp3/SARS-CoV-2/7llf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7llf,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.3,,0.2174,0.2598
7llz,pdb/nsp3/SARS-CoV-2/7llz,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7llz,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.9,,0.1959,0.2427
7los,pdb/nsp3/SARS-CoV-2/7los,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7los,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.9,,0.2094,0.2929
7nfv,pdb/nsp3/SARS-CoV-2/7nfv,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7nfv,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.42,,0.1538,0.1714
7sdr,pdb/nsp3/SARS-CoV-2/7sdr,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7sdr,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.72,,0.1729,0.2122
7m1y,pdb/nsp3/SARS-CoV-2/7m1y,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7m1y,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.02,,0.1841,0.2129
7d7k,pdb/nsp3/SARS-CoV-2/7d7k,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7d7k,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.9,,0.1828,0.2074
7rbs,pdb/nsp3/SARS-CoV-2/7rbs,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7rbs,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.98,,0.1951,0.2358
7oft,pdb/nsp3/SARS-CoV-2/7oft,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7oft,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.95,,0.1807,0.2115
7d7l,pdb/nsp3/SARS-CoV-2/7d7l,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7d7l,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.11,,0.1833,0.2183
7ofs,pdb/nsp3/SARS-CoV-2/7ofs,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7ofs,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.9,,0.1847,0.2142
7sqe,pdb/nsp3/SARS-CoV-2/7sqe,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7sqe,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.0,,0.1739,0.2047
7sgu,pdb/nsp3/SARS-CoV-2/7sgu,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7sgu,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.79,,0.1671,0.1877
7rqg,pdb/nsp3/SARS-CoV-2/7rqg,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7rqg,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.17,,0.1968,0.2417
7rbr,pdb/nsp3/SARS-CoV-2/7rbr,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7rbr,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.88,,0.1867,0.2284
7sgw,pdb/nsp3/SARS-CoV-2/7sgw,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7sgw,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.95,,0.1764,0.2068
7rzc,pdb/nsp3/SARS-CoV-2/7rzc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7rzc,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.04,,0.1776,0.2117
7sgv,pdb/nsp3/SARS-CoV-2/7sgv,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7sgv,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.0,,0.1806,0.2074
7ofu,pdb/nsp3/SARS-CoV-2/7ofu,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/7ofu,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.72,,0.1454,0.1997
7lfv,pdb/nsp3/SARS-CoV/7lfv,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/7lfv,nsp3,SARS-CoV,X-RAY DIFFRACTION,0,2.23,,0.1972,0.2346
7lfu,pdb/nsp3/SARS-CoV/7lfu,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/7lfu,nsp3,SARS-CoV,X-RAY DIFFRACTION,0,2.29,,0.2244,0.2647
1ysy,pdb/nsp7/SARS-CoV/1ysy,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7/SARS-CoV/1ysy,nsp7,SARS-CoV,SOLUTION NMR,0,,,,
2kys,pdb/nsp7/SARS-CoV/2kys,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7/SARS-CoV/2kys,nsp7,SARS-CoV,SOLUTION NMR,0,,,,
7lg3,pdb/nsp7/SARS-CoV-2/7lg3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7/SARS-CoV-2/7lg3,nsp7,SARS-CoV-2,X-RAY DIFFRACTION,0,2.3,,0.1902,0.2476
2ahm,pdb/nsp7-nsp8/SARS-CoV/2ahm,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8/SARS-CoV/2ahm,nsp7-nsp8,SARS-CoV,X-RAY DIFFRACTION,0,2.3,,0.213,0.251
5f22,pdb/nsp7-nsp8/SARS-CoV/5f22,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8/SARS-CoV/5f22,nsp7-nsp8,SARS-CoV,X-RAY DIFFRACTION,0,1.6,,0.2119,0.2523
6m5i,pdb/nsp7-nsp8/SARS-CoV-2/6m5i,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8/SARS-CoV-2/6m5i,nsp7-nsp8,SARS-CoV-2,X-RAY DIFFRACTION,0,2.496,,0.208,0.2917
6wiq,pdb/nsp7-nsp8/SARS-CoV-2/6wiq,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8/SARS-CoV-2/6wiq,nsp7-nsp8,SARS-CoV-2,X-RAY DIFFRACTION,0,2.85,,0.2082,0.2523
6wqd,pdb/nsp7-nsp8/SARS-CoV-2/6wqd,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8/SARS-CoV-2/6wqd,nsp7-nsp8,SARS-CoV-2,X-RAY DIFFRACTION,0,1.85,,0.1866,0.2287
6wtc,pdb/nsp7-nsp8/SARS-CoV-2/6wtc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8/SARS-CoV-2/6wtc,nsp7-nsp8,SARS-CoV-2,X-RAY DIFFRACTION,0,1.85,,0.1868,0.2141
6xip,pdb/nsp7-nsp8/SARS-CoV-2/6xip,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8/SARS-CoV-2/6xip,nsp7-nsp8,SARS-CoV-2,X-RAY DIFFRACTION,0,1.5,,0.1607,0.1991
6yhu,pdb/nsp7-nsp8/SARS-CoV-2/6yhu,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8/SARS-CoV-2/6yhu,nsp7-nsp8,SARS-CoV-2,X-RAY DIFFRACTION,0,2.0,,0.214328180177,0.239342382078
7dcd,pdb/nsp7-nsp8/SARS-CoV-2/7dcd,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8/SARS-CoV-2/7dcd,nsp7-nsp8,SARS-CoV-2,X-RAY DIFFRACTION,0,2.57,,0.2539,0.3533
6nur,pdb/nsp7-nsp8-rna_polymerase/SARS-CoV/6nur,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8-rna_polymerase/SARS-CoV/6nur,nsp7-nsp8-rna_polymerase,SARS-CoV,ELECTRON MICROSCOPY,1,3.1,,,
6x2g,pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/6x2g,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/6x2g,nsp7-nsp8-rna_polymerase,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.53,,,
6xqb,pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/6xqb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/6xqb,nsp7-nsp8-rna_polymerase,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.4,,,
6yyt,pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/6yyt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/6yyt,nsp7-nsp8-rna_polymerase,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.9,,,
7l1f,pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7l1f,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7l1f,nsp7-nsp8-rna_polymerase,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.89,,,
7dfh,pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7dfh,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7dfh,nsp7-nsp8-rna_polymerase,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.97,,,
7ozv,pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7ozv,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7ozv,nsp7-nsp8-rna_polymerase,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.2,,,
7ozu,pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7ozu,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7ozu,nsp7-nsp8-rna_polymerase,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.3,,,
7dte,pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7dte,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7dte,nsp7-nsp8-rna_polymerase,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.0,,,
7oyg,pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7oyg,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7oyg,nsp7-nsp8-rna_polymerase,SARS-CoV-2,ELECTRON MICROSCOPY,0,5.5,,,
7dfg,pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7dfg,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7dfg,nsp7-nsp8-rna_polymerase,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.7,,,
7jlt,pdb/nsp8/SARS-CoV-2/7jlt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7jlt,nsp8,SARS-CoV-2,X-RAY DIFFRACTION,0,2.7,,0.2365,0.283
6m71,pdb/nsp8/SARS-CoV-2/6m71,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/6m71,nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.9,,,
7aap,pdb/nsp8/SARS-CoV-2/7aap,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7aap,nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.5,,,
7btf,pdb/nsp8/SARS-CoV-2/7btf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7btf,nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.95,,,
7bv1,pdb/nsp8/SARS-CoV-2/7bv1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7bv1,nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.8,,,
7bv2,pdb/nsp8/SARS-CoV-2/7bv2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7bv2,nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.5,,,
7bw4,pdb/nsp8/SARS-CoV-2/7bw4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7bw4,nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.7,,,
7bzf,pdb/nsp8/SARS-CoV-2/7bzf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7bzf,nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.26,,,
7c2k,pdb/nsp8/SARS-CoV-2/7c2k,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7c2k,nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.93,,,
7ctt,pdb/nsp8/SARS-CoV-2/7ctt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7ctt,nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.2,,,
7cxm,pdb/nsp8/SARS-CoV-2/7cxm,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7cxm,nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.9,,,
7cxn,pdb/nsp8/SARS-CoV-2/7cxn,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7cxn,nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.84,,,
7d4f,pdb/nsp8/SARS-CoV-2/7d4f,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7d4f,nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.57,,,
7cyq,pdb/nsp8/SARS-CoV-2/7cyq,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7cyq,nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.83,,,
7b3b,pdb/nsp8/SARS-CoV-2/7b3b,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7b3b,nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.1,,,
7b3c,pdb/nsp8/SARS-CoV-2/7b3c,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7b3c,nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.4,,,
7b3d,pdb/nsp8/SARS-CoV-2/7b3d,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7b3d,nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.8,,,
6nus,pdb/nsp8-rna_polymerase/SARS-CoV-2/6nus,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8-rna_polymerase/SARS-CoV-2/6nus,nsp8-rna_polymerase,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.5,,,
1qz8,pdb/nsp9/SARS-CoV/1qz8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp9/SARS-CoV/1qz8,nsp9,SARS-CoV,X-RAY DIFFRACTION,0,2.7,,0.24792,0.28035
1uw7,pdb/nsp9/SARS-CoV/1uw7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp9/SARS-CoV/1uw7,nsp9,SARS-CoV,X-RAY DIFFRACTION,0,2.8,,0.228,0.314
3ee7,pdb/nsp9/SARS-CoV/3ee7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp9/SARS-CoV/3ee7,nsp9,SARS-CoV,X-RAY DIFFRACTION,0,2.6,,0.216,0.268
6w4b,pdb/nsp9/SARS-CoV-2/6w4b,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp9/SARS-CoV-2/6w4b,nsp9,SARS-CoV-2,X-RAY DIFFRACTION,1,2.9,,0.2398,0.276
6w9q,pdb/nsp9/SARS-CoV-2/6w9q,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp9/SARS-CoV-2/6w9q,nsp9,SARS-CoV-2,X-RAY DIFFRACTION,0,2.05,,0.2327,0.2459
6wc1,pdb/nsp9/SARS-CoV-2/6wc1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp9/SARS-CoV-2/6wc1,nsp9,SARS-CoV-2,X-RAY DIFFRACTION,0,2.4,,0.232,0.278
6wxd,pdb/nsp9/SARS-CoV-2/6wxd,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp9/SARS-CoV-2/6wxd,nsp9,SARS-CoV-2,X-RAY DIFFRACTION,0,2.0,,0.2145,0.2534
7kri,pdb/nsp9/SARS-CoV-2/7kri,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp9/SARS-CoV-2/7kri,nsp9,SARS-CoV-2,X-RAY DIFFRACTION,0,1.58,,0.1777,0.1953
7bwq,pdb/nsp9/SARS-CoV-2/7bwq,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp9/SARS-CoV-2/7bwq,nsp9,SARS-CoV-2,X-RAY DIFFRACTION,0,2.95,,0.2128,0.2989
7n3k,pdb/nsp9/SARS-CoV-2/7n3k,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp9/SARS-CoV-2/7n3k,nsp9,SARS-CoV-2,X-RAY DIFFRACTION,0,3.0,,0.2263,0.2855
1ssk,pdb/nucleocapsid_protein/SARS-CoV/1ssk,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nucleocapsid_protein/SARS-CoV/1ssk,nucleocapsid_protein,SARS-CoV,SOLUTION NMR,0,,,,
2cjr,pdb/nucleocapsid_protein/SARS-CoV/2cjr,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nucleocapsid_protein/SARS-CoV/2cjr,nucleocapsid_protein,SARS-CoV,X-RAY DIFFRACTION,0,2.5,,0.256,0.269
2gib,pdb/nucleocapsid_protein/SARS-CoV/2gib,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nucleocapsid_protein/SARS-CoV/2gib,nucleocapsid_protein,SARS-CoV,X-RAY DIFFRACTION,0,1.75,,0.18726,0.23451
2jw8,pdb/nucleocapsid_protein/SARS-CoV/2jw8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nucleocapsid_protein/SARS-CoV/2jw8,nucleocapsid_protein,SARS-CoV,SOLUTION NMR,0,,,,
2ofz,pdb/nucleocapsid_protein/SARS-CoV/2ofz,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nucleocapsid_protein/SARS-CoV/2ofz,nucleocapsid_protein,SARS-CoV,X-RAY DIFFRACTION,0,1.17,,0.16244,0.19132
